48--50,00-0000,4989100,5353400
48--50,11-0000,153500,167200
48--50,11-1000,69300,75200
48--50,11-1011,3600,3400
48--50,11-1021,65600,71800
48--50,11-2000,9700,10500
48--50,11-2011,100,100
48--50,11-2020,9400,10200
48--50,11-2021,2000,2100
48--50,11-2022,7400,8000
48--50,11-2031,300,300
48--50,11-3000,62400,68700
48--50,11-3011,7800,8400
48--50,11-3021,3300,3600
48--50,11-3031,5600,6700
48--50,11-3051,1200,1400
48--50,11-3061,1300,1500
48--50,11-3071,39800,43400
48--50,11-3111,200,200
48--50,11-3121,2500,2800
48--50,11-3131,800,800
48--50,11-9000,12100,12800
48--50,11-9021,1700,1700
48--50,11-9041,1200,1300
48--50,11-9051,200,200
48--50,11-9141,300,300
48--50,11-9161,100,100
48--50,11-9199,8500,9100
48--50,13-0000,88100,95800
48--50,13-1000,69700,75900
48--50,13-1020,7200,7400
48--50,13-1021,300,300
48--50,13-1022,1700,1900
48--50,13-1023,5100,5200
48--50,13-1030,900,800
48--50,13-1031,900,800
48--50,13-1041,4200,4500
48--50,13-1051,1800,1900
48--50,13-1070,11500,12300
48--50,13-1071,10700,11500
48--50,13-1075,700,800
48--50,13-1081,10800,12100
48--50,13-1111,5100,5500
48--50,13-1121,200,100
48--50,13-1141,700,800
48--50,13-1151,9100,10100
48--50,13-1161,4500,5400
48--50,13-1199,13900,15100
48--50,13-2000,18400,19900
48--50,13-2011,14700,16000
48--50,13-2031,400,400
48--50,13-2041,300,300
48--50,13-2050,2200,2400
48--50,13-2051,2200,2400
48--50,13-2099,600,700
48--50,15-0000,26500,28800
48--50,15-1100,25700,27800
48--50,15-1120,3500,3800
48--50,15-1121,3100,3300
48--50,15-1122,400,400
48--50,15-1130,7100,7600
48--50,15-1131,1500,1300
48--50,15-1132,3100,3500
48--50,15-1133,1900,2100
48--50,15-1134,500,600
48--50,15-1140,6300,6700
48--50,15-1141,1000,1200
48--50,15-1142,4700,4900
48--50,15-1143,600,600
48--50,15-1150,6900,7700
48--50,15-1151,4800,5300
48--50,15-1152,2100,2400
48--50,15-1199,1900,2100
48--50,15-2000,800,1000
48--50,15-2031,700,1000
48--50,17-0000,20000,21600
48--50,17-1021,100,100
48--50,17-2000,16500,17800
48--50,17-2011,2000,2200
48--50,17-2051,1200,1300
48--50,17-2061,100,100
48--50,17-2070,1400,1500
48--50,17-2071,600,700
48--50,17-2072,800,900
48--50,17-2081,300,300
48--50,17-2110,5200,5800
48--50,17-2111,800,900
48--50,17-2112,4400,4900
48--50,17-2121,700,700
48--50,17-2131,200,200
48--50,17-2141,1400,1400
48--50,17-2171,2100,2200
48--50,17-2199,1900,2100
48--50,17-3000,3200,3500
48--50,17-3010,400,400
48--50,17-3013,200,300
48--50,17-3019,100,100
48--50,17-3020,2800,3000
48--50,17-3021,400,400
48--50,17-3023,900,1000
48--50,17-3026,500,600
48--50,17-3027,200,200
48--50,17-3029,700,800
48--50,17-3031,100,100
48--50,19-0000,2100,2300
48--50,19-1000,100,100
48--50,19-2000,800,800
48--50,19-2030,100,100
48--50,19-2031,100,100
48--50,19-2040,700,700
48--50,19-2041,600,600
48--50,19-3000,200,200
48--50,19-3090,100,100
48--50,19-3099,100,100
48--50,19-4000,1000,1100
48--50,19-4031,300,300
48--50,19-4041,500,500
48--50,19-4090,200,200
48--50,19-4091,100,100
48--50,19-4099,100,100
48--50,21-0000,100,100
48--50,21-1000,100,100
48--50,23-0000,1400,1500
48--50,23-1000,1000,1100
48--50,23-1010,1000,1100
48--50,23-1011,1000,1100
48--50,23-2000,400,400
48--50,23-2011,200,300
48--50,23-2090,100,100
48--50,23-2099,100,100
48--50,25-0000,400,500
48--50,25-3000,200,200
48--50,25-3021,200,200
48--50,25-4000,100,100
48--50,27-0000,3700,4200
48--50,27-1000,1700,2100
48--50,27-1010,200,200
48--50,27-1011,100,100
48--50,27-1019,100,100
48--50,27-1020,1600,1900
48--50,27-1021,100,100
48--50,27-1024,400,400
48--50,27-1025,100,100
48--50,27-1026,1000,1200
48--50,27-2000,100,200
48--50,27-3000,1600,1700
48--50,27-3031,700,700
48--50,27-3040,500,500
48--50,27-3042,300,400
48--50,27-3043,100,100
48--50,27-4000,300,300
48--50,27-4010,100,100
48--50,27-4021,100,100
48--50,29-0000,6200,6900
48--50,29-1000,500,600
48--50,29-1051,200,300
48--50,29-1141,300,300
48--50,29-2000,1100,1400
48--50,29-2041,1000,1300
48--50,29-9000,4600,4900
48--50,29-9010,4600,4900
48--50,29-9011,3800,4000
48--50,29-9012,800,900
48--50,31-0000,800,1000
48--50,31-9000,100,100
48--50,31-9090,100,100
48--50,33-0000,36600,39200
48--50,33-1000,700,800
48--50,33-1099,700,700
48--50,33-2000,200,300
48--50,33-2011,200,300
48--50,33-3000,900,1000
48--50,33-3050,800,900
48--50,33-3052,700,700
48--50,33-9000,34800,37200
48--50,33-9021,800,800
48--50,33-9030,7800,8600
48--50,33-9032,7800,8600
48--50,33-9090,26200,27800
48--50,33-9093,600,600
48--50,33-9099,25600,27100
48--50,35-0000,8900,9900
48--50,35-1000,700,700
48--50,35-1011,300,300
48--50,35-1012,400,400
48--50,35-2000,4500,5000
48--50,35-2010,3200,3600
48--50,35-2012,1600,1700
48--50,35-2014,800,900
48--50,35-2015,100,100
48--50,35-2019,800,900
48--50,35-2021,1300,1400
48--50,35-3000,2700,3100
48--50,35-3011,500,600
48--50,35-3020,800,900
48--50,35-3021,500,600
48--50,35-3022,300,400
48--50,35-3031,1200,1400
48--50,35-3041,100,100
48--50,35-9000,1000,1100
48--50,35-9011,400,500
48--50,35-9021,200,300
48--50,35-9031,100,100
48--50,35-9099,200,200
48--50,37-0000,17800,20600
48--50,37-1000,500,600
48--50,37-1011,400,500
48--50,37-1012,100,100
48--50,37-2000,16200,18800
48--50,37-2010,16100,18800
48--50,37-2011,15800,18400
48--50,37-2012,300,300
48--50,37-2019,100,100
48--50,37-3000,1100,1200
48--50,37-3011,1000,1100
48--50,39-0000,19700,22900
48--50,39-1000,800,900
48--50,39-1021,800,900
48--50,39-2000,300,400
48--50,39-2021,300,400
48--50,39-3000,900,1000
48--50,39-3091,500,500
48--50,39-6000,10900,12600
48--50,39-6011,10800,12400
48--50,39-6012,200,200
48--50,39-7000,4000,4900
48--50,39-7011,3900,4700
48--50,39-7012,200,200
48--50,39-9000,2700,3100
48--50,39-9011,600,700
48--50,39-9021,300,400
48--50,39-9099,1800,2000
48--50,41-0000,70800,78000
48--50,41-1000,3500,3900
48--50,41-1011,1100,1300
48--50,41-1012,2400,2600
48--50,41-2000,11100,12700
48--50,41-2010,3400,3600
48--50,41-2011,3400,3600
48--50,41-2020,3400,3900
48--50,41-2021,2900,3200
48--50,41-2022,500,600
48--50,41-2031,4300,5200
48--50,41-3000,45400,49100
48--50,41-3041,400,500
48--50,41-3099,44900,48500
48--50,41-4000,9500,11000
48--50,41-4011,400,400
48--50,41-4012,9100,10600
48--50,41-9000,1400,1400
48--50,41-9020,200,200
48--50,41-9022,200,200
48--50,41-9031,100,100
48--50,41-9041,200,200
48--50,41-9090,800,800
48--50,41-9099,800,700
48--50,43-0000,858300,891500
48--50,43-1000,54100,57000
48--50,43-1011,54100,57000
48--50,43-2000,1100,600
48--50,43-2011,1000,600
48--50,43-3000,65800,65600
48--50,43-3011,4700,4500
48--50,43-3021,14600,15700
48--50,43-3031,39100,38200
48--50,43-3051,5800,5600
48--50,43-3061,1500,1600
48--50,43-3099,100,100
48--50,43-4000,209700,218800
48--50,43-4011,200,200
48--50,43-4021,200,200
48--50,43-4041,200,100
48--50,43-4051,81400,85100
48--50,43-4071,2500,2200
48--50,43-4151,9100,9700
48--50,43-4161,4000,4000
48--50,43-4171,6500,6300
48--50,43-4181,104300,109300
48--50,43-4199,1300,1600
48--50,43-5000,371700,402200
48--50,43-5011,81000,88900
48--50,43-5021,20400,22200
48--50,43-5030,88100,85000
48--50,43-5032,88000,84900
48--50,43-5061,20500,23600
48--50,43-5071,70800,80500
48--50,43-5081,84300,94600
48--50,43-5111,6500,7200
48--50,43-6000,50800,46100
48--50,43-6011,7400,6000
48--50,43-6012,100,100
48--50,43-6014,43300,40000
48--50,43-9000,105100,101300
48--50,43-9011,1800,1500
48--50,43-9020,6600,5100
48--50,43-9021,6500,5000
48--50,43-9022,100,100
48--50,43-9041,200,300
48--50,43-9051,1500,1400
48--50,43-9061,90300,87800
48--50,43-9199,3500,4000
48--50,45-0000,2900,3100
48--50,45-1000,100,100
48--50,45-1011,100,100
48--50,45-2000,1900,2000
48--50,45-2011,100,100
48--50,45-2041,300,300
48--50,45-2090,1600,1600
48--50,45-2091,400,500
48--50,45-2092,600,600
48--50,45-2093,500,500
48--50,45-3000,100,100
48--50,45-4000,800,900
48--50,45-4020,800,900
48--50,45-4022,700,800
48--50,47-0000,28700,28800
48--50,47-1000,3700,3700
48--50,47-1011,3700,3700
48--50,47-2000,14500,14800
48--50,47-2011,300,300
48--50,47-2031,1600,1600
48--50,47-2061,1000,1100
48--50,47-2070,2800,2900
48--50,47-2071,200,200
48--50,47-2073,2600,2700
48--50,47-2111,4300,4300
48--50,47-2140,200,200
48--50,47-2141,200,200
48--50,47-2150,2100,2100
48--50,47-2152,1900,1900
48--50,47-2211,1800,1800
48--50,47-2221,100,100
48--50,47-3000,100,100
48--50,47-4000,9500,9400
48--50,47-4011,100,100
48--50,47-4041,100,100
48--50,47-4051,100,100
48--50,47-4061,7800,7600
48--50,47-4090,1400,1300
48--50,47-4099,1400,1300
48--50,47-5000,800,900
48--50,47-5010,300,300
48--50,47-5013,200,200
48--50,47-5071,300,300
48--50,49-0000,302400,322200
48--50,49-1000,24500,26200
48--50,49-1011,24500,26200
48--50,49-2000,14300,15100
48--50,49-2011,100,200
48--50,49-2020,200,200
48--50,49-2021,100,100
48--50,49-2022,100,100
48--50,49-2090,14000,14800
48--50,49-2091,7100,7800
48--50,49-2092,200,300
48--50,49-2093,5800,5700
48--50,49-2094,600,600
48--50,49-2095,200,200
48--50,49-2096,100,100
48--50,49-2097,100,100
48--50,49-3000,193400,203300
48--50,49-3011,78500,82700
48--50,49-3020,11800,12200
48--50,49-3021,1600,1700
48--50,49-3023,10100,10500
48--50,49-3031,79400,83800
48--50,49-3040,21900,22600
48--50,49-3042,4500,4900
48--50,49-3043,17400,17700
48--50,49-3051,600,600
48--50,49-3090,1200,1300
48--50,49-3093,1200,1300
48--50,49-9000,70200,77700
48--50,49-9010,1800,1800
48--50,49-9012,1800,1800
48--50,49-9021,1300,1500
48--50,49-9031,300,300
48--50,49-9040,10100,10900
48--50,49-9041,5900,6300
48--50,49-9043,3800,4300
48--50,49-9044,400,400
48--50,49-9050,100,100
48--50,49-9051,100,100
48--50,49-9060,200,200
48--50,49-9069,100,100
48--50,49-9071,35300,40900
48--50,49-9090,21100,21900
48--50,49-9091,200,200
48--50,49-9092,200,200
48--50,49-9095,200,200
48--50,49-9096,2600,2700
48--50,49-9097,6700,6600
48--50,49-9098,7400,7900
48--50,49-9099,3700,4000
48--50,51-0000,76800,83600
48--50,51-1000,6100,6900
48--50,51-1011,6100,6900
48--50,51-2000,8200,8200
48--50,51-2011,1400,1600
48--50,51-2020,900,800
48--50,51-2041,200,200
48--50,51-2090,5700,5500
48--50,51-2092,4300,4200
48--50,51-2099,1400,1300
48--50,51-3000,1500,1800
48--50,51-3020,300,300
48--50,51-3022,200,200
48--50,51-3090,1200,1500
48--50,51-3092,200,200
48--50,51-4000,15600,15800
48--50,51-4010,100,100
48--50,51-4030,300,400
48--50,51-4031,200,200
48--50,51-4041,7300,7300
48--50,51-4111,100,100
48--50,51-4120,7500,7700
48--50,51-4121,7300,7400
48--50,51-4122,300,300
48--50,51-4190,100,100
48--50,51-5100,400,500
48--50,51-5112,300,400
48--50,51-6000,1100,1300
48--50,51-6011,100,100
48--50,51-6031,500,700
48--50,51-6050,100,100
48--50,51-6090,400,400
48--50,51-6093,300,400
48--50,51-7000,1300,1600
48--50,51-7011,200,300
48--50,51-7021,400,500
48--50,51-7040,600,700
48--50,51-7041,600,700
48--50,51-8000,12900,13100
48--50,51-8010,100,100
48--50,51-8012,100,100
48--50,51-8021,100,100
48--50,51-8090,12600,12800
48--50,51-8092,5500,5500
48--50,51-8093,6800,7100
48--50,51-8099,300,300
48--50,51-9000,29700,34400
48--50,51-9020,300,300
48--50,51-9021,100,100
48--50,51-9023,100,200
48--50,51-9030,200,200
48--50,51-9032,200,200
48--50,51-9051,100,100
48--50,51-9061,13900,15600
48--50,51-9111,6300,7600
48--50,51-9120,4300,5000
48--50,51-9121,700,800
48--50,51-9122,3600,4200
48--50,51-9191,100,100
48--50,51-9192,200,200
48--50,51-9193,200,200
48--50,51-9196,200,300
48--50,51-9198,2200,2600
48--50,51-9199,1600,1900
48--50,53-0000,3263500,3523600
48--50,53-1000,150700,163700
48--50,53-1011,6500,6800
48--50,53-1021,64300,72600
48--50,53-1031,79900,84300
48--50,53-2000,220700,235500
48--50,53-2010,98700,100900
