99-100,00-0000,10863000,11062100
99-100,11-0000,622900,646200
99-100,11-1000,207900,215700
99-100,11-1011,25200,22800
99-100,11-1021,127100,133500
99-100,11-1031,55500,59400
99-100,11-2000,7100,7400
99-100,11-2011,400,400
99-100,11-2020,2600,2700
99-100,11-2021,1700,1700
99-100,11-2022,1000,1000
99-100,11-2031,4000,4300
99-100,11-3000,142500,149500
99-100,11-3011,36200,38200
99-100,11-3021,22200,23200
99-100,11-3031,42300,44400
99-100,11-3051,1700,1800
99-100,11-3061,8200,8500
99-100,11-3071,15000,15500
99-100,11-3111,1500,1600
99-100,11-3121,13500,14300
99-100,11-3131,1800,1900
99-100,11-9000,265400,273600
99-100,11-9013,400,500
99-100,11-9021,8900,9500
99-100,11-9030,11700,12100
99-100,11-9031,800,900
99-100,11-9032,2200,2300
99-100,11-9033,400,400
99-100,11-9039,8300,8500
99-100,11-9041,16800,17500
99-100,11-9051,2000,2100
99-100,11-9071,1800,1900
99-100,11-9081,300,300
99-100,11-9111,29500,30600
99-100,11-9121,16000,16500
99-100,11-9131,14200,11200
99-100,11-9141,8800,9400
99-100,11-9151,26800,28400
99-100,11-9161,6700,7100
99-100,11-9199,121600,126400
99-100,13-0000,1089300,1112000
99-100,13-1000,797900,810600
99-100,13-1020,55700,50900
99-100,13-1021,300,300
99-100,13-1022,400,400
99-100,13-1023,55000,50200
99-100,13-1030,60000,55500
99-100,13-1031,60000,55500
99-100,13-1041,128100,132900
99-100,13-1051,800,900
99-100,13-1070,71300,71900
99-100,13-1071,68400,69000
99-100,13-1075,2900,2900
99-100,13-1081,30700,31400
99-100,13-1111,135900,140800
99-100,13-1121,4000,4200
99-100,13-1131,500,500
99-100,13-1141,14200,14200
99-100,13-1151,20400,21400
99-100,13-1161,6400,7400
99-100,13-1199,269900,278600
99-100,13-2000,291400,301400
99-100,13-2011,116300,121900
99-100,13-2021,27800,29700
99-100,13-2031,24200,25200
99-100,13-2041,300,300
99-100,13-2050,9900,10400
99-100,13-2051,9000,9400
99-100,13-2052,300,300
99-100,13-2053,600,600
99-100,13-2061,11800,12200
99-100,13-2070,5100,5300
99-100,13-2071,300,400
99-100,13-2072,4800,4900
99-100,13-2080,62100,61700
99-100,13-2081,62100,61700
99-100,13-2099,33800,34800
99-100,15-0000,271800,282800
99-100,15-1100,249400,256000
99-100,15-1111,7900,8100
99-100,15-1120,40500,40600
99-100,15-1121,37400,37400
99-100,15-1122,3000,3200
99-100,15-1130,35500,36800
99-100,15-1131,11700,9800
99-100,15-1132,17400,20100
99-100,15-1133,4300,4500
99-100,15-1134,2200,2300
